"name","metric","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","cmi_max","cmi_mean","cmi_min","cmi_range","fgd","gdd0","gddlgd0","gdgfgd0","gsl","gsp","gst","ngd0","longitude","latitude"
"Achillea atrata","Q05",-3.54999999999995,8.3,0.300999999046326,648.74,10.78,-19.05,26.4,3.15000000000003,-12.02,5.45000000000005,-13.22,1299.84,167.41,50.43,11.6,475,181.21,458.29,184.23,82.73,44.39,7.93,63.91,167,588.67,277,101,39,224.27,3.45000000000005,142.3,7.03203,46.13142
"Achillea atrata","Q95",1.95000000000005,10.2,0.349000000953674,750.1,15.85,-11.85,30.8,10.55,-3.54999999999995,10.65,-6.74999999999994,2797.99,347.48,166.97,41.9,983.38,539.14,965.95,565.14,243.77,168.4,113.71,149.54,237.5,1515.48,306,136,135,1098.05,8.55000000000001,207,14.05525,47.60719
"Achillea atrata","range",5.5,1.9,0.0480000019073487,101.36,5.06999999999998,7.19999999999999,4.4,7.39999999999998,8.47000000000001,5.19999999999999,6.47000000000001,1498.15,180.07,116.54,30.3,508.38,357.93,507.66,380.91,161.04,124.01,105.78,85.63,70.5,926.81,29,35,96,873.780000000002,5.09999999999997,64.7,7.02322,1.47576999999999
"Achillea atrata","optimum",-0.37,9.8,0.341,691.3,13.92,-14.3,28.3,8.75,-9.26,8.83,-9.16,1835.1,237.6,81.8,34,673,280.7,672.6,278,146.8,90,45.7,86.4,188,1081.8,297,117,105,-97.8,7.32,180,13.135,47.161
"Achillea millefolium","mean",3.4,7.2,0.313,610.7,16.17,-8.36,24.5,6.25,1.37,11.26,-4.38,1010.9,130.7,49.8,29.4,357.6,165.9,245.4,270.6,86.4,19.3,-52.7,139.1,205,1838.3,239,156,200,4052409.7,8.44,264,-43.971,0.35
"Achillea millefolium","median",4.25000000000006,6.4,0.338000011444092,440.15,14.75,-4.79999999999995,19.2,6.35000000000002,4.45000000000005,10.45,-1.14999999999998,805.95,96.5,47,22.5,264.95,156.85,225.85,196.95,62.75,7.4,-50.45,102.45,181,1791.15,289,111.5,186,469.7,7.55000000000001,277.5,-68.35995,-36.82965
"Achillea millefolium","Q05",-0.949999999999989,3.675,0.169000005722046,282.75,12.05,-22.4,12.625,-1.19999999999995,-14.775,8.77500000000005,-18.325,361.075,41.825,13.7,13.925,115.35,52.975,101.575,59.825,5.975,-33.675,-103.75,80.05,65,1345.925,146.25,90.25,110.2,223.3,5.89000000000002,178,-135.484775,-54.835275
"Achillea millefolium","Q95",6.75000000000006,11.95,0.401750004291534,1290.025,22.425,0.725000000000023,43.6,13.6,11.925,15.65,3.00000000000001,2430.5,386.875,109.65,66.575,1024.8,369.925,470.8,827.725,339.45,141.075,9.625,375.55,315.3,2444.4,319,240.75,365,1581,12.41,365,155.61335,64.6162
"Achillea millefolium","range",7.70000000000005,8.275,0.232749998569489,1007.275,10.375,23.125,30.975,14.8,26.7,6.875,21.325,2069.425,345.05,95.95,52.65,909.45,316.95,369.225,767.9,333.475,174.75,113.375,295.5,250.3,1098.475,172.75,150.5,254.8,1357.7,6.52000000000003,187,291.098125,119.451475
"Achillea millefolium","optimum",4.8,6.1,0.345,387.9,13.25,-3.99,17,1.61,5.27,9.84,-0.34,698.5,87.1,49.7,17,240.3,163.8,219.7,120.8,57.6,2,-38.5,97.5,157,1735.8,300,103,141,-68.2,7.07,197,-71.397,-51.435
"Aconitum delphiniifolium","mean",-2.66,6.6,0.201,975,15.16,-18,33.2,6.6,-5.83,10.24,-14.27,1165.3,178.9,44.5,50.3,472.5,153.1,360.3,260,118.1,48,-33.2,151.3,180,1234.5,279,118,98,14461580.2,8.49,164,-130.365,61.05
"Aconitum delphiniifolium","median",-2.64999999999998,6.5,0.191999995708466,940,15.15,-18.45,33.2,7.75000000000006,-7.44999999999999,10.2500000000001,-14.55,833.3,136.9,28.5,47.7,362.5,100.3,317.3,150.1,71.4,20.8,-43.8,117,176,1204.3,278,119,99,364.7,8.55000000000001,160,-145.7341,61.1074
"Aconitum delphiniifolium","Q05",-9.34999999999997,3.6,0.136200001239777,517.3,10.55,-27.95,18.7,-4.04999999999995,-17.57,6.45000000000005,-23.95,454.32,75.9,11.12,24.04,201.56,41.22,163.64,56.12,22.12,-7.2,-75,66.32,136.65,665.24,257,95,46,176.58,4.92000000000004,119,-163.77674,53.99432
"Aconitum delphiniifolium","Q95",3.33000000000002,9.38,0.289000010490418,1422.42,20.35,-4.84999999999997,44.98,14.43,8.15000000000003,14.65,-2.44999999999999,3492.94,487.12,145.02,78.48,1306.24,511.28,672.16,977.32,445.46,231.94,48.78,396.34,234.35,1885.15,313.45,142,145,1612.46,12.15,223.2,-117.30644,67.35848
"Aconitum delphiniifolium","range",12.68,5.78,0.152800009250641,905.12,9.80000000000001,23.1,26.28,18.48,25.72,8.19999999999999,21.5,3038.62,411.22,133.9,54.44,1104.68,470.06,508.52,921.2,423.34,239.14,123.78,330.02,97.6999999999999,1219.91,56.45,47,99,1435.88,7.23,104.2,46.4703,13.36416
"Aconitum delphiniifolium","optimum",-3.45,6.4,0.186,845.8,14.79,-21.22,32.1,8.22,-9.65,10.77,-17.37,654.3,123.2,18.9,41.5,313.1,78.8,282.5,90.3,40.4,7.9,-58.5,96.9,170,906.2,278,119,101,-72.7,8.37,148,-149.217,60.726
"Aconitum septentrionale","mean",1.02,6.5,0.222,804.2,15.98,-13.31,29.3,8.45,-2.87,11.74,-8.95,1120.4,145,51.2,33.6,392.9,172.3,350.3,258,96.5,45.3,-22.1,118.6,170,1524.9,296,105,122,162730.1,9.23,192,21.384,62.039
"Aconitum septentrionale","median",1.15000000000003,6.4,0.228999996185303,754.4,15.65,-12.35,27.6,10.65,-3.24999999999994,11.55,-8.14999999999998,1011.5,132.7,47.1,31.3,357,157.6,342.3,197,80.6,37.9,-22.9,100.6,167,1518.2,296,105,125,458.1,9.15000000000003,192,12.0373,62.1995
"Aconitum septentrionale","Q05",-2.04999999999995,5,0.170000004768372,634.3,13.15,-22.95,23.9,-6.24999999999994,-15.55,9.45000000000005,-18.45,586.24,88.73,21.19,22,235.14,72.46,229.63,83.72,33.53,-0.2,-59.37,73.16,143,1116.83,282,91,81,303.83,7.15000000000003,163.3,7.78193,54.07072
"Aconitum septentrionale","Q95",3.25000000000006,8.3,0.25699999332428,1284.54,21.05,-8.48,43.3,14.15,6.25000000000006,15.05,-4.34999999999997,2133.68,265.51,101.14,51.7,714.97,330.32,472.57,669.01,233.38,125.8,14.87,234.54,207,1949.55,309.75,120,151,677.84,11.95,217,88.86482,66.43663
"Aconitum septentrionale","range",5.30000000000001,3.3,0.0869999885559082,650.24,7.89999999999998,14.47,19.4,20.4,21.8,5.59999999999997,14.1,1547.44,176.78,79.95,29.7,479.83,257.86,242.94,585.29,199.85,126,74.24,161.38,64,832.72,27.75,29,70,374.01,4.80000000000001,53.7,81.08289,12.36591
"Aconitum septentrionale","optimum",1.17,6.6,0.243,772.3,15.22,-12.27,26.9,11.09,-3.83,11.63,-8.58,901.2,128.1,43.3,30.1,333.5,139.5,329.6,167.3,62.7,31.1,-25.3,89.5,163,1523.9,296,107,133,55.2,9.19,193,9.034,61.088
"Adoxa moschatellina","mean",-0.31,9.2,0.252,1034.3,18.74,-19.02,37.8,11.18,-10.16,12.88,-13.74,964.7,135.3,41.5,45.5,365.6,142.9,350.7,156.3,63.1,21.2,-32.4,95.4,159,1661.1,292,109,125,416.4,10.29,184,17.003,52.325
"Adoxa moschatellina","median",0.0500000000000114,9.1,0.23199999332428,952.3,19.15,-18.45,36.3,11.55,-9.44999999999999,13.05,-12.7499999999999,741,112.5,26.4,36.8,305.4,94.1,276.9,112.8,47.4,8.2,-49.9,91.2,155,1699.6,292,108,130,373.3,10.55,188,10.4747,52.4338
"Adoxa moschatellina","Q05",-3.24999999999999,6.1,0.167999994754791,687.1,13.2500000000001,-26.13,27.34,4.45000000000001,-17.45,8.09000000000002,-20.31,388.24,74.82,7.64,11.88,202.86,28.98,197.14,33.08,4.8,-25.74,-83.1,64.16,119,968.62,275.8,97,76,270.3,5.89000000000003,152.4,-147.43502,39.62992
"Adoxa moschatellina","Q95",2.05000000000001,13.16,0.364400000572205,1428.4,24.21,-12.09,50,17.55,-1.03,17.55,-7.24999999999994,2299.34,272.14,120.7,83.8,759.7,392.66,754.98,418.1,169.8,121.68,60.72,141.3,214.6,2370.94,304,130,160.8,699.2,13.65,204.6,104.71018,64.91962
"Adoxa moschatellina","range",5.3,7.06,0.196400005817413,741.3,10.96,14.04,22.66,13.1,16.42,9.45999999999999,13.06,1911.1,197.32,113.06,71.92,556.84,363.68,557.84,385.02,165,147.42,143.82,77.14,95.6,1402.32,28.2,33,84.8,428.9,7.76,52.2,252.1452,25.2897
"Adoxa moschatellina","optimum",0.25,9.2,0.213,762.4,20.9,-14.67,30.3,9.19,-8.38,13.21,-9.18,599.5,96.4,20.2,34.2,253,72.5,245.6,81,30.5,1.7,-64.4,90.3,153,1815.6,291,108,137,332.7,11.13,193,11.611,46.643
"Agrostis canina","mean",2.21,6.5,0.237,748.1,16.57,-11.12,27.7,8.94,-1.64,12.15,-7.09,1194.4,149,57,29.7,409.9,193.4,341.5,279.4,99,48.1,-19.7,118.7,165,1677.4,304,99,138,544.9,9.46,209,14.219,60.404
"Agrostis canina","median",1.95000000000005,6.2,0.225999999046326,765.8,16.45,-12.15,28.3,11.45,-3.84999999999997,12.45,-8.14999999999998,959.2,123,46.1,31,335,151.1,317.5,185.6,68.3,29.2,-22.2,95.5,159,1670.1,301,102,138,464.6,9.75000000000006,201,12.0042,62.6149
"Agrostis canina","Q05",-0.329999999999961,4.5,0.160200002193451,559.78,13.55,-15.05,22.42,-1.84999999999997,-6.72999999999995,9.25000000000006,-11.2499999999999,683.42,93.78,31.42,14.9,254.24,105.56,237.42,120.48,42.66,8.36,-66.02,72.4,146,1155.62,289.05,70,94,337.14,6.57000000000002,173.2,1.9636,42.56488
"Agrostis canina","Q95",5.25000000000006,9.3,0.354799995422363,934.2,19.05,-6.14999999999998,32.38,13.83,7.95000000000005,14.2500000000001,-1.66999999999997,2531.5,306.22,119.38,40.78,851.1,382.14,542.12,777.66,277.28,152.92,36,278.38,200.95,2153.68,328.95,118,176.8,903.1,11.15,263.4,28.37688,67.51792
"Agrostis canina","range",5.58000000000002,4.8,0.194599993228912,374.42,5.5,8.89999999999998,9.95999999999999,15.68,14.68,5,9.57999999999997,1848.08,212.44,87.9599999999999,25.88,596.86,276.58,304.7,657.18,234.62,144.56,102.02,205.98,54.95,998.06,39.9,48,82.8,565.96,4.58000000000002,90.2,26.41328,24.95304
"Agrostis canina","optimum",1.92,6.3,0.223,614.7,16.32,-12.52,29.1,12.08,-4.58,13.07,-8.78,835.3,115.6,38.4,33.4,310.9,129.8,313.3,157.5,59,24.8,-24.3,82.6,156,1636.3,300,102,142,427.8,9.94,200,10.965,62.161
"Agrostis capillaris","mean",1.94,6,0.22,760.7,16.27,-11.33,27.6,8.46,-1.5,12.07,-7.51,1229.3,157.5,57.3,31.9,427.9,191.1,345.7,300.9,109.3,53.8,-15.4,124.6,167,1651.4,296,103,139,2322161.9,9.34,209,19.476,60.502
"Agrostis capillaris","median",1.70000000000005,6.1,0.211999988555908,781.65,16.15,-12.35,29.1,11.45,-3.74999999999994,12.15,-8.54999999999995,890.2,124.45,41.7,31.2,322.9,143.95,313.75,183,68.05,30.15,-21.05,88.45,160.5,1680.85,299,103,136,446.7,9.55000000000001,198,15.6534,64.21265
"Agrostis capillaris","Q05",-0.404999999999978,3.79,0.164999997615814,428.325,12.2500000000001,-15.15,17.295,-3.65999999999995,-6.90499999999998,9.49500000000003,-11.15,702.575,94.1,30.945,21,263.385,100.68,254.005,119.88,41.145,10.43,-48.1,66.1,146,1183.07,286.8,73,89.35,330.24,6.15000000000003,174,6.74754,46.54425
"Agrostis capillaris","Q95",5.15000000000003,8.41,0.311750001907349,936.255,19.15,-3.07499999999996,32.6,14.05,8.00500000000003,14.05,-0.329999999999962,2557.205,308.96,118.67,44.665,877.155,391.37,598.475,793.04,273.73,152.89,40.2800000000001,256.705,212.95,2030.575,327.6,117,212.15,1308.725,11.05,302.8,30.455285,68.80492
"Agrostis capillaris","range",5.55500000000001,4.62,0.146750004291534,507.93,6.89999999999998,12.075,15.305,17.71,14.91,4.55499999999998,10.82,1854.63,214.86,87.7250000000001,23.665,613.77,290.69,344.47,673.16,232.585,142.46,88.3800000000001,190.605,66.95,847.505,40.8,44,122.8,978.485,4.89999999999998,128.8,23.707745,22.26067
"Agrostis capillaris","optimum",1.72,6.2,0.188,902.4,15.8,-13.23,29.8,12.55,-4.84,13.1,-9.6,810.4,110.3,37.8,30.3,297.1,123.2,292.2,153.7,57.1,24.2,-23.6,82.6,155,1774.7,298,102,143,-42.3,10.46,198,10.902,64.557
"Agrostis mertensii","mean",-0.08,5.8,0.201,829.1,15.26,-14.04,29.3,8.72,-4.37,11.07,-10.24,1036.1,142,49.2,35.3,372.7,162.1,327.8,238.3,87.9,42.9,-18.1,106,176,1367.4,290,114,112,8811087.2,8.77,178,16.248,66.009
"Agrostis mertensii","median",0.0500000000000114,5.9,0.194000005722046,857.85,15.45,-14.35,30,11.05,-5.54999999999995,11.35,-10.85,796.75,116,38.5,34.5,297.1,125.45,294.3,150.9,57.9,26,-23.6,81.2,166,1396.85,290,113,122,363,9.35000000000002,179,22.0678,67.22475
"Agrostis mertensii","Q05",-2.84999999999997,4.7,0.16599999666214,613.505,11.15,-16.55,23.1,-5.84999999999997,-9.84999999999997,7.65000000000003,-12.35,614.415,94.005,28.3,23.7,246.2,91.7,242.605,97.7,37,10,-42.2,65.7,154,829.105,275,102,52,213.4,5.05000000000001,144,6.722605,59.79464
"Agrostis mertensii","Q95",2.05000000000001,6.9,0.249000000953674,953.8,18.85,-9.54999999999995,33.1,13.55,4.35000000000002,13.85,-5.54999999999995,2418.14,298.665,117.19,47.9,803.07,377.175,516.695,735.585,263.495,148.3,29.7,235.795,230,1808.785,303,133,140,665.785,10.95,202,28.7534,69.725395
"Agrostis mertensii","range",4.89999999999998,2.2,0.0830000042915344,340.295,7.69999999999999,7,10,19.4,14.2,6.19999999999999,6.80000000000001,1803.725,204.66,88.89,24.2,556.87,285.475,274.09,637.885,226.495,138.3,71.9,170.095,76,979.68,28,31,88,452.385,5.90000000000003,58,22.030795,9.93075499999999
"Agrostis mertensii","optimum",0.23,6,0.191,928.2,15.7,-14.84,30.8,11.74,-6.15,11.57,-11.45,712.8,108.3,33.2,32.1,282,106.5,280.3,123.3,49.7,22,-27.3,75,160,1417.2,290,114,127,-25.5,9.53,182,27.044,68.979
"Agrostis rupestris","mean",-0.28,9.1,0.327,680.6,13.87,-14.03,27.9,2.22,-3.71,8.54,-8.94,1751.8,204.9,96.6,23.1,567.3,329.8,497.1,369,133.5,77,9.2,124.3,202,1099.2,295,118,92,52107747,6.58,178,7.52,45.367
"Agrostis rupestris","median",-0.249999999999943,9.2,0.325,697.5,14.05,-14.35,28.3,3.45000000000005,-6.24999999999994,8.65000000000003,-9.14999999999998,1740,206.1,92.7,19.4,573.7,320.1,473.3,352.4,136.1,77.8,15.5,118.5,200,1095.1,296,119,93,465.4,6.85000000000002,178,6.8926,45.4396
"Agrostis rupestris","Q05",-3.94999999999999,7.94,0.290000009536743,564.5,10.55,-18.75,24.3,-8.34999999999997,-11.95,5.35000000000002,-13.35,1117.08,125.1,50.6,9.3,340.74,189.04,274.4,198.6,60.3,16.6,-61.8,71.24,161,555.26,274,95,30,172.66,3.05000000000001,135,0.2457,42.45208
"Agrostis rupestris","Q95",3.21000000000004,10,0.361999988555908,745.72,16.85,-8.34999999999997,30.4,10.01,10.55,11.41,-3.74999999999994,2467.6,286.06,157.86,44.3,792.66,507.52,782.28,577.92,203.32,137.06,88.22,195.76,251,1638.34,316,141,148,429496729.5,9.15000000000003,220,13.62282,47.25
"Agrostis rupestris","range",7.16000000000003,2.06,0.0719999790191651,181.22,6.30000000000001,10.4,6.1,18.36,22.5,6.06,9.60000000000002,1350.52,160.96,107.26,35,451.92,318.48,507.88,379.32,143.02,120.46,150.02,124.52,90,1083.08,42,46,118,429496556.84,6.10000000000002,85,13.37712,4.79792
"Agrostis rupestris","optimum",0.38,9.4,0.315,723.3,14.43,-15.21,28.4,8.23,-7.79,8.98,-9.82,1720.5,208.9,68.1,17.2,594,242.7,341.4,253.1,152,84.4,32.7,114.3,192,1123.3,298,116,96,-145.8,7.2,184,6.58,46.994
"Agrostis stolonifera","mean",0.54,7.9,0.264,825.4,16.14,-14.96,31.1,8.92,-6.39,11.16,-10.08,1326.6,164.7,66.8,33.1,451.4,226.1,410.8,272.8,100.4,50.4,-7,107.3,175,1523.8,291,111,129,7405658.6,8.75,198,25.541,50.524
"Agrostis stolonifera","median",0.250000000000057,8.8,0.294000005722046,745.45,15.55,-15.2499999999999,30.1,9.15000000000003,-6.69999999999996,11.05,-9.99999999999997,1222.6,151.2,58.25,30.65,421.5,211.65,370.65,227.6,94.95,40.55,-12.95,93.3,175,1514.3,294,110,126,421.65,8.90000000000003,190.5,10.37935,46.9753
"Agrostis stolonifera","Q05",-4.24999999999994,3.475,0.145750004053116,428.6,10.7500000000001,-25.85,15.075,0.150000000000048,-15.675,6.10000000000004,-19.25,447.175,82.675,9,10.35,220.2,33.775,220.2,38.7,12.22,-20.53,-78.68,65.13,119,644.175,275,75.5,44.85,195.7,3.74500000000002,142,6.735675,44.533125
"Agrostis stolonifera","Q95",5.15000000000003,11.125,0.346000003814697,1406.5,24.15,-1.94999999999996,49.825,17.475,7.70000000000002,17.475,0.0750000000000171,2377.9,285.775,131.65,82.2,786.025,451.95,709.475,656.075,223.12,132.94,81.295,215.91,233.55,2375.975,322,138,221.15,2121.7,13.585,324.5,103.781725,67.83635
"Agrostis stolonifera","range",9.39999999999998,7.65,0.200249999761581,977.9,13.4,23.9,34.75,17.325,23.375,11.375,19.325,1930.725,203.1,122.65,71.85,565.825,418.175,489.275,617.375,210.9,153.47,159.975,150.78,114.55,1731.8,47,62.5,176.3,1926,9.84,182.5,97.04605,23.303225
"Agrostis stolonifera","optimum",-0.04,9.4,0.317,731,14.75,-15.38,30.2,9.58,-5.7,11.99,-9.65,687.4,110.7,38.4,31.6,279.8,121.4,278.4,156,57.9,25.4,-18.9,86.3,175,1635,292,108,133,-127.1,9.99,195,9.207,47.024
"Agrostis vinealis","mean",1.9,5.6,0.249,669,14.28,-9.95,24.2,4.83,-0.55,10.73,-6.28,1759.9,230.8,81.6,38.2,624.8,264.2,403.3,494.4,184.2,92.9,3.7,180.5,146,1685.4,283,98,195,3941454.8,7.91,261,27.17,58.912
"Agrostis vinealis","median",4.20000000000005,5.5,0.25,443.2,13.7500000000001,-4.69999999999996,17.5,2.85000000000002,5.95000000000005,10.65,-1.24999999999994,1554.25,213.9,81.55,32.2,566.35,270.85,367.3,450,155.9,75.05,5.35,157,159,1683.05,300,103,155,812.6,7.55000000000001,263,6.85705,56.97235
"Agrostis vinealis","Q05",-10.48,1.785,0.109850002527237,301.12,11.85,-34.45,10.985,-0.339999999999946,-29.065,9.05000000000001,-30.38,506.27,93.29,10.285,22.2,235.435,35.125,233.61,36.475,36.24,4.94,-58.47,80.935,55.4,976.54,28.5,49,76.75,220.14,5.85000000000002,123,-5.59921,50.12275
"Agrostis vinealis","Q95",6.51000000000003,9.415,0.338000011444092,1587.015,17.665,0.925000000000011,50.3,11.765,9.15000000000003,12.765,2.92500000000001,3461.1,434.8,161.325,85.305,1183.295,509.25,662.91,1115.565,392.95,228.59,75.66,323.175,205.8,2367.65,354,147.5,365,3418.06,10.15,365,142.748415,69.00697
"Agrostis vinealis","range",16.99,7.63,0.228150008916855,1285.895,5.81500000000001,35.375,39.315,12.105,38.215,3.71500000000004,33.305,2954.83,341.51,151.04,63.105,947.86,474.125,429.3,1079.09,356.71,223.65,134.13,242.24,150.4,1391.11,325.5,98.5,288.25,3197.92,4.30000000000001,242,148.347625,18.88422
"Agrostis vinealis","optimum",5.15,5.5,0.327,390.9,13.43,-3.25,16.4,1.66,6.82,10.59,0.34,1281.2,138.9,83.3,32.5,392.3,284.9,324,139.9,107.5,48.1,5.2,101.4,169,1560.5,296,107,118,-629.9,7.16,362,-4.209,56.743
"Alchemilla alpina","mean",1.73,6,0.251,622.4,13.83,-9.91,23.7,3.53,1.47,10.13,-5.74,1752.8,212.1,85.2,28.1,583.6,283.1,422,474.1,167.8,91.2,1.8,166,187,1398,299,104,122,7222116.5,7.4,212,6.022,60.436
"Alchemilla alpina","median",1.55000000000001,5.8,0.245000004768372,660.65,13.85,-10.7499999999999,24.9,3.65000000000003,2.95000000000005,10.2500000000001,-6.54999999999995,1537.15,180.25,75.4,28.8,496.9,256.9,387.6,401.35,138,73.15,-4.8,144.4,188,1365.9,298,107,110,499.3,7.65000000000003,194,8.2856,61.806
"Alchemilla alpina","Q05",-1.54999999999995,2.9,0.179999995231628,372.9,10.95,-15.7499999999999,13.7,-5.66499999999997,-7.24999999999994,7.75000000000006,-10.85,822.77,106.785,38.585,16.1,287.97,126.585,235.37,159.1,57.085,19.4,-51.1,79.7,130.7,896.8,280,69,48.85,269.3,4.45000000000005,158,-20.872185,44.95926
"Alchemilla alpina","Q95",5.35000000000002,9.5,0.340000009536743,788.03,16.55,-2.14999999999998,29.8,11.15,9.35000000000002,12.45,0.650000000000034,3381.225,420.39,160.615,38.7,1152.43,521.905,722.615,1070.255,380.93,223.3,76.715,327.03,241,2010.675,340.95,127,292,2248.235,9.55000000000001,365,21.132025,69.78136
"Alchemilla alpina","range",6.89999999999998,6.6,0.160000014305115,415.13,5.59999999999997,13.6,16.1,16.815,16.6,4.69999999999999,11.5,2558.455,313.605,122.03,22.6,864.46,395.32,487.245,911.154999999999,323.845,203.9,127.815,247.33,110.3,1113.875,60.9499999999998,58,243.15,1978.935,5.09999999999997,207,42.00421,24.8221
"Alchemilla alpina","optimum",1.2,5.6,0.244,705.2,13.86,-12.73,25.3,9.8,5.75,10.55,-8.24,1371.6,142.4,54,32.3,400.7,227,346,211.3,85.9,42.1,-17.8,97.2,187,1335.9,295,109,114,-113.9,8.08,189,7.387,61.287
"Alchemilla vulgaris","mean",1.3,7,0.258,731.6,15.44,-12.1,27.5,7.11,-2.46,10.97,-7.82,1391.9,174.7,71.1,29.6,471.9,236.6,397.4,323.2,117,61.6,-4.8,121.8,171,1488,297,106,131,946622.7,8.5,205,11.418,57.47
"Alchemilla vulgaris","median",1.15000000000003,6.4,0.2375,730.1,15.45,-12.7499999999999,28.5,9.05000000000001,-4.54999999999995,10.85,-8.54999999999995,1274.05,151.2,58.1,29.9,410.6,206.85,346.9,251.7,97.8,47.6,-17.55,100,169,1510.7,297,107,127,451.4,8.75000000000006,192,12.4699,62.0848
